subjID,run,trial,phase,oriRef,oriJitt,oriFinal,oriRespInit,oriRespFinal,error,points,rt,outoftime,iti,oriRef2,oriFinal2,oriRespFinal2,oriFinal3,oriRespFinal3
1,1,114,4,4,-6,129,104,124,5,90,1.86426824599994,,0.2,135,129,124,-6,-11
1,1,115,3,1,-8,172,52,166,6,88,2.99745095200001,,0.2,0,-8,-14,-8,-14
1,1,116,1,1,-4,176,33,171,5,90,2.14857342000005,,0.2,0,-4,-9,-4,-9
1,1,117,4,1,8,8,176,6,2,96,2.532284334,,0.2,0,8,6,8,6
1,1,118,10,1,8,8,104,11,-3,94,4.21319452500006,,0.2,0,8,11,8,11
1,1,119,8,3,-5,85,50,86,-1,98,2.96157486700008,,0.2,90,85,86,-5,-4
1,1,120,1,3,9,99,141,98,1,98,2.99790018200019,,0.2,90,99,98,9,8
1,1,121,2,3,-9,81,80,80,1,98,2.29555022599993,,0.2,90,81,80,-9,-10
1,1,122,2,1,8,8,60,12,-4,92,2.91260492099991,,0.2,0,8,12,8,12
1,1,123,6,2,0,45,164,37,8,84,2.21939130800001,,0.2,45,45,37,0,-8
1,1,124,7,2,7,52,56,52,0,100,1.36595405200001,,0.2,45,52,52,7,7
1,1,125,6,2,4,49,166,50,-1,98,2.58135250000009,,0.2,45,49,50,4,5
1,1,126,4,1,9,9,55,11,-2,96,2.0306104230001,,0.2,0,9,11,9,11
1,1,127,10,2,-7,38,174,28,10,80,2.58323892900012,,0.2,45,38,28,-7,-17
1,1,128,9,1,-1,179,136,174,5,90,1.96547407499997,,0.2,0,-1,-6,-1,-6
1,1,129,8,4,4,139,152,147,-8,84,2.63257110099994,,0.2,135,139,147,4,12
1,1,130,9,4,-2,133,81,119,14,72,1.94855022399997,,0.2,135,133,119,-2,-16
1,1,131,7,4,-4,131,107,123,8,84,1.91412251500014,,0.2,135,131,123,-4,-12
1,1,132,3,2,3,48,147,32,16,68,3.18048116499995,,0.2,45,48,32,3,-13
1,1,133,6,4,-8,127,122,122,5,90,1.03109605399982,,0.2,135,127,122,-8,-13
1,1,134,10,3,7,97,139,103,-6,88,3.03121374499983,,0.2,90,97,103,7,13
1,1,135,6,3,-3,87,112,86,1,98,2.16337160700004,,0.2,90,87,86,-3,-4
1,1,136,6,4,0,135,30,125,10,80,3.44888331699985,,0.2,135,135,125,0,-10
1,1,137,7,3,0,90,147,90,0,100,3.34878311700004,,0.2,90,90,90,0,0
1,1,138,3,2,7,52,85,51,1,98,1.89426636999997,,0.2,45,52,51,7,6
1,1,139,3,4,1,136,167,143,-7,86,1.66623125499996,,0.2,135,136,143,1,8
1,1,140,1,4,7,142,35,136,6,88,2.46662286800006,,0.2,135,142,136,7,1
1,1,141,8,1,5,5,83,9,-4,92,3.01910154799998,,0.2,0,5,9,5,9
1,1,142,3,3,-5,85,66,85,0,100,2.51388661199985,,0.2,90,85,85,-5,-5
1,1,143,1,2,3,48,33,39,9,82,1.83101487499994,,0.2,45,48,39,3,-6
1,1,144,5,1,-8,172,35,161,11,78,2.03263265500004,,0.2,0,-8,-19,-8,-19
1,1,145,5,1,2,2,20,4,-2,96,1.83070725099992,,0.2,0,2,4,2,4
1,1,146,3,3,6,96,54,99,-3,94,3.33741726099993,,0.2,90,96,99,6,9
1,1,147,8,1,-10,170,149,165,5,90,2.41421508200006,,0.2,0,-10,-15,-10,-15
